i,0,20210611,064257,32,1,1158,897,1281,1024,CAM0/20210611064257.jpg
i,0,20210611,064300,31,1,1159,898,1283,1023,CAM0/20210611064300.jpg
i,0,20210611,064303,30,1,1160,898,1282,1022,CAM0/20210611064303.jpg
i,0,20210611,064306,31,1,1158,896,1283,1023,CAM0/20210611064306.jpg
i,0,20210611,064315,33,1,1159,900,1284,1023,CAM0/20210611064315.jpg
i,0,20210611,064318,35,1,1160,897,1283,1023,CAM0/20210611064318.jpg
i,0,20210611,064321,35,1,1160,897,1282,1022,CAM0/20210611064321.jpg
i,0,20210611,064324,33,1,1161,898,1285,1023,CAM0/20210611064324.jpg
i,0,20210611,064327,35,1,1160,899,1286,1024,CAM0/20210611064327.jpg
i,0,20210611,064330,44,1,1161,901,1286,1025,CAM0/20210611064330.jpg
i,0,20210611,064333,42,1,1160,898,1285,1023,CAM0/20210611064333.jpg
i,0,20210611,064336,37,1,1176,916,1273,1005,CAM0/20210611064336.jpg
i,0,20210611,064339,35,1,1177,916,1273,1005,CAM0/20210611064339.jpg
i,0,20210611,064342,37,1,1160,899,1285,1022,CAM0/20210611064342.jpg
i,0,20210611,064345,36,1,1160,898,1287,1023,CAM0/20210611064345.jpg
i,0,20210611,064351,38,1,1161,898,1287,1024,CAM0/20210611064351.jpg
i,0,20210611,064400,39,1,1162,899,1286,1024,CAM0/20210611064400.jpg
i,0,20210611,064403,31,1,1161,899,1286,1022,CAM0/20210611064403.jpg
i,0,20210611,064406,35,1,1162,901,1288,1023,CAM0/20210611064406.jpg
i,0,20210611,064418,37,1,1161,900,1287,1023,CAM0/20210611064418.jpg
i,0,20210611,064421,31,1,1163,899,1286,1022,CAM0/20210611064421.jpg
i,0,20210611,064430,32,1,1164,897,1287,1021,CAM0/20210611064430.jpg
i,0,20210611,064439,31,1,1164,898,1286,1022,CAM0/20210611064439.jpg
i,0,20210611,064445,32,1,1165,896,1288,1022,CAM0/20210611064445.jpg
i,0,20210611,183515,35,1,2092,879,2205,1020,CAM0/20210611183515.jpg
i,0,20210611,183539,33,1,2090,874,2206,1013,CAM0/20210611183539.jpg
i,0,20210611,183606,36,1,2089,876,2205,1014,CAM0/20210611183606.jpg
i,0,20210611,192736,55,1,2551,1258,2638,1313,CAM0/20210611192736.jpg
i,0,20210611,192827,59,1,2569,1246,2651,1309,CAM0/20210611192827.jpg
i,0,20210611,192833,56,1,2573,1245,2656,1309,CAM0/20210611192833.jpg
i,0,20210611,192836,53,1,2568,1251,2653,1323,CAM0/20210611192836.jpg
i,0,20210611,192839,42,1,2570,1245,2653,1309,CAM0/20210611192839.jpg
i,0,20210611,192842,46,1,2573,1245,2655,1309,CAM0/20210611192842.jpg
i,0,20210611,192845,56,1,2572,1244,2655,1310,CAM0/20210611192845.jpg
i,0,20210611,192848,56,1,2572,1244,2656,1310,CAM0/20210611192848.jpg
i,0,20210611,192851,64,1,2570,1243,2655,1310,CAM0/20210611192851.jpg
i,0,20210611,192854,56,1,2573,1244,2657,1310,CAM0/20210611192854.jpg
i,0,20210611,192857,56,1,2572,1245,2658,1309,CAM0/20210611192857.jpg
i,0,20210611,192900,55,1,2572,1245,2656,1309,CAM0/20210611192900.jpg
i,0,20210611,192903,32,1,2570,1243,2655,1310,CAM0/20210611192903.jpg
i,0,20210611,192906,54,1,2568,1253,2652,1321,CAM0/20210611192906.jpg
i,0,20210611,192909,56,1,2574,1243,2656,1309,CAM0/20210611192909.jpg
i,0,20210611,192912,52,1,2571,1245,2655,1309,CAM0/20210611192912.jpg
i,0,20210611,192915,62,1,2573,1244,2657,1309,CAM0/20210611192915.jpg
